Eyetracker File is:	Ambi_B32_block4_1807310815.edfScanner Trigger at times:	39000
 br	 p_left	 p_right	 pr	 pr_left	 magnitude_left	 magnitude_right	 UrnsPresented_duration	 ChoiceTime_duration	 ChoiceDisplayed_duration	 OutcomeDisplayed_duration	 ITI_duration	 OutcomeHistoryDisplayed_duration	 ShockOutcomeDisplayed_duration	 ExtraITI_duration	 time_urns_presented	 time_button_press	 time_participant_choice_presented	 token_chosen_presented_time	 shock_time	 resultpicture_time	 time_ITI_begin	 time_Extra_ITI_begin	 trial number	 choice time	 participantsbet	 computerchoice_outcome	 did_right_win	 did_left_win	 numberofshocks	 outcome_chosen	 outcome	 numberbin1	 numberbin2	 numberbin3	 numberbin0	 outcome_intoarray	 result_given1in10	 breaktime	 length_break	 FIRST_ITI_start	 ITI_start	 UrnsPresented_start	 QuestionMark_start	 ButtonPress_start	 ChoiceDisplayed_start	 Outcome_start	 OutcomeHistoryDisplayed_start	 ShockOutcomeDisplay_start	 Shock_start	 ExtraITI_start	 Trial_starttime
 40	0.16	0.56	1	1	88	132	2700	5000	3100	1500	3100	0	0	0	10019	15084	15102	18218	Not shocked this trial	No picture this trial	19734	blah_de_blah_de_blah	1	2349	bet_left	Nothing yet	0	1	0	2	88	0	1	0	0	88	Not fifth trial	blah	3333333	40477	60210	50495	53211	55560	55578	58694	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	40476
90	0.04	0.52	1	1	31	31	4400	5000	3900	1500	5200	0	0	0	2	4733	4750	8667	Not shocked this trial	No picture this trial	10182	blah_de_blah_de_blah	2	316	bet_right	Nothing yet	1	1	0	4	31	1	1	0	0	31	Not fifth trial	blah	3333333	Not_first_trial	73508	63328	67743	68059	68076	71993	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	63326
90	0.3	0.44	1	1	5	12	2500	5000	3000	1500	4000	0	0	0	2	4366	4384	7400	Not shocked this trial	No picture this trial	8916	blah_de_blah_de_blah	3	1849	bet_right	Nothing yet	0	1	0	3	0	1	1	0	1	0	Not fifth trial	blah	3333333	Not_first_trial	87640	78726	81241	83090	83108	86124	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	78724
40	0.36	0.62	1	0.02	38	81	3100	5000	3000	1500	5500	0	0	0	2	4533	4551	7567	Not shocked this trial	No picture this trial	9082	blah_de_blah_de_blah	4	1416	bet_left	Nothing yet	1	0	0	5	0	1	1	0	2	0	Not fifth trial	blah	3333333	Not_first_trial	100738	91658	94773	96189	96207	99223	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	91656
90	0.16	0.58	1	1	7	14	3800	5000	2800	1500	5700	2100	2500	4000	1	4166	4183	7000	13148	10633	17164	13148	5	350	bet_right	Nothing yet	1	1	0	3	14	2	1	0	2	14	0	blah	3333333	Not_first_trial	123419	106256	110071	110421	110438	113255	114770	116888	119403	119403	106255
90	0.4	0.68	1	0.1	25	47	4600	5000	5800	1500	5900	0	0	0	2	5066	5084	10900	Not shocked this trial	No picture this trial	12416	blah_de_blah_de_blah	6	449	bet_right	Nothing yet	1	0	0	5	47	1	0	0	0	47	Not fifth trial	blah	3333333	Not_first_trial	141551	129137	133752	134201	134219	140035	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	129135
90	0.04	0.36	1	1	44	44	4300	5000	4800	1500	3700	0	0	0	1	4599	4617	9433	Not shocked this trial	No picture this trial	10948	blah_de_blah_de_blah	7	283	bet_right	Nothing yet	1	1	0	5	44	2	0	0	0	44	Not fifth trial	blah	3333333	Not_first_trial	158415	147468	151783	152066	152084	156900	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	147467
90	0.04	0.32	1	0.4	9	18	5200	5000	2100	1500	3400	0	0	0	1	6366	6383	8500	Not shocked this trial	No picture this trial	10015	blah_de_blah_de_blah	8	1150	bet_right	Nothing yet	1	1	0	2	18	3	0	0	0	18	Not fifth trial	blah	3333333	Not_first_trial	172147	162133	167348	168498	168515	170632	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	162132
90	0.04	0.48	0.8	1	63	29	2800	5000	3500	1500	3500	0	0	0	1	3233	3250	6767	Not shocked this trial	No picture this trial	8282	blah_de_blah_de_blah	9	416	bet_right	Nothing yet	1	1	0	3	29	4	0	0	0	29	Not fifth trial	blah	3333333	Not_first_trial	183846	175565	178381	178797	178814	182331	Not fifth trial	Not fifth trial	Not fifth trial	Not fifth trial	175564
90	0.06	0.36	1	1	39	52	5400	5000	2200	1500	3700	2200	2500	2300	2	6233	6251	8467	14715	12200	17065	14751	10	816	bet_right	Nothing yet	1	1	3	5	52	4	1	0	0	52	52	blah	3333333	Not_first_trial	204427	187364	192779	193595	193613	195829	197345	199562	202077	202113	187362
