,id,MID,trial_number,start_date,trialstart,outcome,reaction_time,totalpoints,prop_left,prop_right,resp,revealed_left,revealed_right,AID,HID,noresp,session_id,five_trial_outcome,mag_left,mag_right,received_mag,practice,loss_or_reward,revealed_o_l,revealed_o_r,revealed_x_l,revealed_x_r,instruct_number,info_l,info_r,prob_out_l,prob_out_r,prob_out_l_bayes,prob_out_r_bayes,ambig_l,ambig_r,prob_out_ambig,prob_out_unambig,mag_ambig,mag_unambig,resp_amb_1,prob_out_ambig_bayes,info_amb
0,77666,A27BPRHBM28XZS,0,3/10/17 8:43,1.48914e+12,X,2642,5000,0.16,0.76,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,36,21,36,False,combined,9,37,41,13,0,1.0,1.0,0.82,0.26,0.82,0.26,0,0,,,,,,,1.0
1,77667,A27BPRHBM28XZS,1,3/10/17 8:43,1.48914e+12,X,2638,5000,0.24,0.36,right,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,78,101,101,False,combined,13,17,37,33,0,1.0,1.0,0.74,0.66,0.74,0.66,0,0,,,,,,,1.0
2,77669,A27BPRHBM28XZS,2,3/10/17 8:44,1.48914e+12,O,1518,5000,0.34,0.64,left,1.0,0.8,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,21,39,0,False,combined,18,25,32,15,0,1.0,0.8,0.64,0.375,0.64,0.380952380952,0,1,0.375,0.64,39.0,21.0,,0.380952380952,0.8
3,77670,A27BPRHBM28XZS,3,3/10/17 8:44,1.48914e+12,X,1592,5000,0.24,0.08,right,0.1,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,3,12,12,False,combined,1,4,4,46,0,0.1,1.0,0.8,0.92,0.714285714286,0.92,1,0,0.8,0.92,3.0,12.0,,0.714285714286,0.1
4,77672,A27BPRHBM28XZS,4,3/10/17 8:44,1.48914e+12,X,1397,5000,0.12,0.62,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,91,7,20,7,False,combined,6,31,44,19,0,1.0,1.0,0.88,0.38,0.88,0.38,0,0,,,,,,,1.0
5,77674,A27BPRHBM28XZS,5,3/10/17 8:44,1.48914e+12,O,4854,5101,0.64,0.72,right,1.0,0.06,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-74,-84,0,False,combined,32,1,18,2,0,1.0,0.06,0.36,0.666666666667,0.36,0.6,0,1,0.666666666667,0.36,-84.0,-74.0,,0.6,0.06
6,77675,A27BPRHBM28XZS,6,3/10/17 8:44,1.48914e+12,X,1768,5101,0.56,0.48,right,1.0,0.2,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-68,-29,-29,False,combined,26,8,24,2,0,1.0,0.2,0.48,0.2,0.48,0.25,0,1,0.2,0.48,-29.0,-68.0,,0.25,0.2
7,77677,A27BPRHBM28XZS,7,3/10/17 8:44,1.48914e+12,O,1121,5101,0.28,0.76,right,1.0,0.4,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-7,-21,0,False,combined,13,13,37,7,0,1.0,0.4,0.74,0.35,0.74,0.363636363636,0,1,0.35,0.74,-21.0,-7.0,,0.363636363636,0.4
8,77678,A27BPRHBM28XZS,8,3/10/17 8:44,1.48914e+12,X,2931,5101,0.12,0.4,left,1.0,1.0,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-17,-50,-17,False,combined,6,21,44,29,0,1.0,1.0,0.88,0.58,0.88,0.58,0,0,,,,,,,1.0
9,77680,A27BPRHBM28XZS,9,3/10/17 8:45,1.48914e+12,X,4975,5101,0.56,0.48,left,1.0,0.02,3Q5C1WP23N6BPCK8JC4ALVGWVCH15Y,3VQTAXTYN3QR05ULW805AZP12RQUB0,0,aodI,101,-68,-29,-68,False,combined,26,0,24,1,0,1.0,0.02,0.48,1.0,0.48,0.666666666667,0,1,1.0,0.48,-29.0,-68.0,,0.666666666667,0.02
