trial_number,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,prop_left_o,prop_right_o,pl,pr,mag_ambig,mag_unambig,ml,mr,info_amb,rl,rr
204,6,44,0,1,0.12,0.88,0.88,0.12,-125,-17,-17,-125,0.02,1,0.02
153,0,1,32,18,0.72,0.64,0.28,0.36,-84,-74,-84,-74,0.02,0.02,1
197,27,23,1,0,0.52,0.44,0.48,0.56,-80,-125,-125,-80,0.02,1,0.02
72,12,38,1,0,0.24,0.32,0.76,0.68,-74,-88,-88,-74,0.02,1,0.02
199,19,31,0,1,0.36,0.08,0.64,0.92,-70,-97,-97,-70,0.02,1,0.02
32,1,0,16,34,0.64,0.34,0.36,0.66,-39,-21,-39,-21,0.02,0.02,1
233,1,0,31,19,0.36,0.62,0.64,0.38,-38,-81,-38,-81,0.02,0.02,1
101,0,1,42,8,0.12,0.84,0.88,0.16,-34,-94,-34,-94,0.02,0.02,1
9,26,24,0,1,0.56,0.48,0.44,0.52,-29,-68,-68,-29,0.02,1,0.02
264,16,34,1,0,0.32,0.78,0.68,0.22,-27,-7,-7,-27,0.02,1,0.02
160,1,0,26,24,0.1,0.56,0.9,0.44,-16,-25,-16,-25,0.02,0.02,1
214,0,1,27,23,0.56,0.56,0.44,0.44,-11,-14,-11,-14,0.02,0.02,1
97,20,30,0,1,0.38,0.52,0.62,0.48,-9,-13,-13,-9,0.02,1,0.02
192,20,30,0,1,0.38,0.52,0.62,0.48,9,13,13,9,0.02,1,0.02
24,0,1,27,23,0.56,0.56,0.44,0.44,11,14,11,14,0.02,0.02,1
185,1,0,26,24,0.1,0.56,0.9,0.44,24,25,24,25,0.02,0.02,1
139,16,34,1,0,0.32,0.78,0.68,0.22,27,7,7,27,0.02,1,0.02
39,26,24,0,1,0.56,0.48,0.44,0.52,40,68,68,40,0.02,1,0.02
266,0,1,42,8,0.12,0.84,0.88,0.16,34,94,34,94,0.02,0.02,1
118,1,0,31,19,0.36,0.62,0.64,0.38,38,81,38,81,0.02,0.02,1
292,1,0,16,34,0.64,0.34,0.36,0.66,39,21,39,21,0.02,0.02,1
79,19,31,0,1,0.36,0.08,0.64,0.92,70,97,97,70,0.02,1,0.02
17,12,38,1,0,0.24,0.32,0.76,0.68,74,88,88,74,0.02,1,0.02
