,trial_number,ml,mr,pr,pl,rr,rl,revealed_o_l,revealed_x_l,revealed_o_r,revealed_x_r,mag_left,mag_right,info_amb,info_l,info_r,prob_out_l,prob_out_r,prob_out_l_bayes,prob_out_r_bayes,ambig_l,ambig_r,prob_out_ambig,prob_out_unambig,mag_ambig,mag_unambig,resp_amb_1,prob_out_ambig_bayes
0,0,36.0,21.0,0.24,0.84,1.0,1.0,9.0,41.0,37.0,13.0,36.0,21.0,1.0,1.0,1.0,0.82,0.26,0.82,0.26,0.0,0.0,,,,,,
1,1,78.0,101.0,0.64,0.76,1.0,1.0,13.0,37.0,17.0,33.0,78.0,101.0,1.0,1.0,1.0,0.74,0.66,0.74,0.66,0.0,0.0,,,,,,
2,2,21.0,68.0,0.36,0.66,0.8,1.0,18.0,32.0,25.0,15.0,21.0,68.0,0.8,1.0,0.8,0.64,0.375,0.64,0.38095238095238093,0.0,1.0,0.375,0.64,68.0,21.0,,0.38095238095238093
3,3,8.0,12.0,0.92,0.76,1.0,0.1,1.0,4.0,4.0,46.0,8.0,12.0,0.1,0.1,1.0,0.8,0.92,0.7142857142857143,0.92,1.0,0.0,0.8,0.92,8.0,12.0,,0.7142857142857143
4,4,7.0,20.0,0.38,0.88,1.0,1.0,6.0,44.0,31.0,19.0,7.0,20.0,1.0,1.0,1.0,0.88,0.38,0.88,0.38,0.0,0.0,,,,,,
5,5,-29.0,-48.0,0.36,0.32,1.0,1.0,33.0,17.0,32.0,18.0,-29.0,-48.0,1.0,1.0,1.0,0.34,0.36,0.34,0.36,0.0,0.0,,,,,,
6,6,-39.0,-42.0,0.5,0.3,1.0,0.8,25.0,15.0,25.0,25.0,-39.0,-42.0,0.8,0.8,1.0,0.375,0.5,0.38095238095238093,0.5,1.0,0.0,0.375,0.5,-39.0,-42.0,,0.38095238095238093
7,7,-9.0,-13.0,0.62,0.48,1.0,0.2,5.0,5.0,20.0,30.0,-9.0,-13.0,0.2,0.2,1.0,0.5,0.6,0.5,0.6,1.0,0.0,0.5,0.6,-9.0,-13.0,,0.5
8,8,-63.0,-60.0,0.52,0.96,0.8,1.0,3.0,47.0,19.0,21.0,-63.0,-60.0,0.8,1.0,0.8,0.94,0.525,0.94,0.5238095238095238,0.0,1.0,0.525,0.94,-60.0,-63.0,,0.5238095238095238
9,9,-72.0,-89.0,0.8,0.96,1.0,0.1,0.0,5.0,10.0,40.0,-72.0,-89.0,0.1,0.1,1.0,1.0,0.8,0.8571428571428571,0.8,1.0,0.0,1.0,0.8,-72.0,-89.0,,0.8571428571428571
10,10,-9.0,-22.0,0.68,0.56,1.0,1.0,22.0,28.0,16.0,34.0,-9.0,-22.0,1.0,1.0,1.0,0.56,0.68,0.56,0.68,0.0,0.0,,,,,,
11,11,-144.0,-114.0,0.48,0.44,1.0,1.0,28.0,22.0,26.0,24.0,-144.0,-114.0,1.0,1.0,1.0,0.44,0.48,0.44,0.48,0.0,0.0,,,,,,
12,12,-15.0,-17.0,0.58,0.58,1.0,1.0,21.0,29.0,21.0,29.0,-15.0,-17.0,1.0,1.0,1.0,0.58,0.58,0.58,0.58,0.0,0.0,,,,,,
